"","DOY","VPD_max_1998","VPD_min_1998","VPD_max_1999","VPD_min_1999"
"1",135,20.3890022189594,6.49223970875175,17.9951186117727,4.80345629685666
"2",136,20.9237267132508,6.69104063989426,19.1652570173479,5.34972568159333
"3",137,21.4371807304419,6.87809655847835,20.3208052995915,5.89643741368381
"4",138,21.907140682097,7.03821754372947,21.4173512380284,6.42377019769108
"5",139,22.3172067961521,7.16085028877243,22.4149190577444,6.91427927449765
"6",140,22.6620933831683,7.24317267965001,23.2845148857794,7.35317973205327
"7",141,22.948807327297,7.28960218960969,24.0118959795392,7.73132624717987
"8",142,23.1931922531111,7.30916035640855,24.5926150363235,8.04367883402163
"9",143,23.4106586919225,7.31201333429286,25.0305258411259,8.28906751101736
"10",144,23.6116939051782,7.30604454148656,25.3390473628414,8.4697359800534
"11",145,23.8017832243401,7.29648426571701,25.5360837808501,8.59110926407378
"12",146,23.9811593705538,7.28643898537988,25.640048270029,8.65892052800409
"13",147,24.1441383850321,7.27763993599485,25.6675634688065,8.67889553095252
"14",148,24.2801809209509,7.26983974964595,25.6303987821973,8.65584745580849
"15",149,24.3745216456638,7.25937033665723,25.5363885548177,8.5943905469366
"16",150,24.4123665622848,7.23915265668683,25.3956871298785,8.50133682407032
"17",151,24.3836195424588,7.20112749646762,25.2256445521107,8.38608473293171
"18",152,24.2835086375888,7.13858987126132,25.0489102972052,8.26041676701208
"19",153,24.1129283338733,7.04776836459757,24.8906040403379,8.1380953147541
"20",154,23.8804309482234,6.92966555292554,24.7737154856582,8.0330219920033
"21",155,23.606522214712,6.7939395835263,24.7185581866809,7.95670742632652
"22",156,23.3232939301746,6.6571015768407,24.7378697676805,7.915888205533
"23",157,23.061744406805,6.53319896342838,24.837548929681,7.91252724672348
"24",158,22.8430584567699,6.43203470006441,25.0071016028091,7.94327278121633
"25",159,22.6870312474688,6.36347205453863,25.2248593076859,7.9994691031976
"26",160,22.6205736781882,6.34098690031223,25.4710774286824,8.07159943286497
"27",161,22.668277514105,6.37831265182868,25.733423202719,8.15160844396383
